 Clave_de_zona, Ejercicio, Mes, Concesionario, Numeros_de_camión, Nombres_de_asentamientos, Turno, Dias, Horario_de_inicio, Horario_de_fin, Perimetro_de_zona, Nota
NORTE,2021,OCTUBRE-DICIEMBRE,RED RECOLECTOR SOCIEDAD ANONIMA DE CAPITAL VARIABLE,46,BARRIO LA MODERNA,MATUTINO,"LUNES, MIERCOLES Y VIERNES",06:00:00,14:00:00,"25.77996, -100.3856674",
NORTE,2021,OCTUBRE-DICIEMBRE,RED RECOLECTOR SOCIEDAD ANONIMA DE CAPITAL VARIABLE,46,BARRIO MODERNA,MATUTINO,"LUNES, MIERCOLES Y VIERNES",06:00:00,14:00:00,"25.779559, -100.384595",
NORTE,2021,OCTUBRE-DICIEMBRE,RED RECOLECTOR SOCIEDAD ANONIMA DE CAPITAL VARIABLE,8,ARCOS DEL SOL,MATUTINO,"LUNES, MIERCOLES Y VIERNES",06:00:00,14:00:00,"25.7769795, -100.3940498",
NORTE,2021,OCTUBRE-DICIEMBRE,RED RECOLECTOR SOCIEDAD ANONIMA DE CAPITAL VARIABLE,29,BARRIO SAN LUIS,MATUTINO,"LUNES, MIERCOLES Y VIERNES",06:00:00,14:00:00,"25.7759488, -100.3917023",
NORTE,2021,OCTUBRE-DICIEMBRE,RED RECOLECTOR SOCIEDAD ANONIMA DE CAPITAL VARIABLE,32,BARRIO ESTRELLA,MATUTINO,"LUNES, MIERCOLES Y VIERNES",06:00:00,14:00:00,"25.7675412, -100.4094648",
NORTE,2021,OCTUBRE-DICIEMBRE,RED RECOLECTOR SOCIEDAD ANONIMA DE CAPITAL VARIABLE,44,CHAPULTEPEC,MATUTINO,"LUNES, MIERCOLES Y VIERNES",06:00:00,14:00:00,"25.763579, -100.4000796",
NORTE,2021,OCTUBRE-DICIEMBRE,RED RECOLECTOR SOCIEDAD ANONIMA DE CAPITAL VARIABLE,44,CHAPULTEPEC NORTE,MATUTINO,"LUNES, MIERCOLES Y VIERNES",06:00:00,14:00:00,"25.7612807, -100.3976938",
NORTE,2021,OCTUBRE-DICIEMBRE,RED RECOLECTOR SOCIEDAD ANONIMA DE CAPITAL VARIABLE,44,CHAPULTEPEC SUR,MATUTINO,"LUNES, MIERCOLES Y VIERNES",06:00:00,14:00:00,"25.7596398, -100.4009432",
NORTE,2021,OCTUBRE-DICIEMBRE,RED RECOLECTOR SOCIEDAD ANONIMA DE CAPITAL VARIABLE,32,CUMBRES ELITE 2 SECTOR,MATUTINO,"LUNES, MIERCOLES Y VIERNES",06:00:00,14:00:00,"25.741197, -100.404743",
NORTE,2021,OCTUBRE-DICIEMBRE,RED RECOLECTOR SOCIEDAD ANONIMA DE CAPITAL VARIABLE,30,CUMBRES ELITE 3 SECTOR,MATUTINO,"LUNES, MIERCOLES Y VIERNES",06:00:00,14:00:00,"25.7422074, -100.4067202",
NORTE,2021,OCTUBRE-DICIEMBRE,RED RECOLECTOR SOCIEDAD ANONIMA DE CAPITAL VARIABLE,30,CUMBRES ELITE 4 SECTOR,MATUTINO,"LUNES, MIERCOLES Y VIERNES",06:00:00,14:00:00,"25.7405652, -100.4080991",
NORTE,2021,OCTUBRE-DICIEMBRE,RED RECOLECTOR SOCIEDAD ANONIMA DE CAPITAL VARIABLE,32,CUMBRES ELITE 5 SECTOR,MATUTINO,"LUNES, MIERCOLES Y VIERNES",06:00:00,14:00:00,"25.7393843, -100.4063192",
NORTE,2021,OCTUBRE-DICIEMBRE,RED RECOLECTOR SOCIEDAD ANONIMA DE CAPITAL VARIABLE,31,REAL CUMBRES,MATUTINO,"LUNES, MIERCOLES Y VIERNES",06:00:00,14:00:00,"25.7551216, -100.4073881",
NORTE,2021,OCTUBRE-DICIEMBRE,RED RECOLECTOR SOCIEDAD ANONIMA DE CAPITAL VARIABLE,31,FRACC. CUMBRES SAN ANGEL,MATUTINO,"LUNES, MIERCOLES Y VIERNES",06:00:00,14:00:00,"25.7572211, -100.4084146",
NORTE,2021,OCTUBRE-DICIEMBRE,RED RECOLECTOR SOCIEDAD ANONIMA DE CAPITAL VARIABLE,32,HACIENDA SANTA CLARA,MATUTINO,"LUNES, MIERCOLES Y VIERNES",06:00:00,14:00:00,"25.744406, -100.3944741",
NORTE,2021,OCTUBRE-DICIEMBRE,RED RECOLECTOR SOCIEDAD ANONIMA DE CAPITAL VARIABLE,32,CUMBRES PROVIDENCIA,MATUTINO,"LUNES, MIERCOLES Y VIERNES",06:00:00,14:00:00,"25.7359165, -100.402421",
NORTE,2021,OCTUBRE-DICIEMBRE,RED RECOLECTOR SOCIEDAD ANONIMA DE CAPITAL VARIABLE,34,MIRADOR DE LAS MITRAS,MATUTINO,"LUNES, MIERCOLES Y VIERNES",06:00:00,14:00:00,"25.7437131, -100.392343",
NORTE,2021,OCTUBRE-DICIEMBRE,RED RECOLECTOR SOCIEDAD ANONIMA DE CAPITAL VARIABLE,32,CUMBRES DE SANTA CLARA,MATUTINO,"LUNES, MIERCOLES Y VIERNES",06:00:00,14:00:00,"25.7384606, -100.3996082",
NORTE,2021,OCTUBRE-DICIEMBRE,RED RECOLECTOR SOCIEDAD ANONIMA DE CAPITAL VARIABLE,46,BARRIO AZTLAN,MATUTINO,"LUNES, MIERCOLES Y VIERNES",06:00:00,14:00:00,"25.7769838, -100.3841652",
NORTE,2021,OCTUBRE-DICIEMBRE,RED RECOLECTOR SOCIEDAD ANONIMA DE CAPITAL VARIABLE,36,PEDREGAL CUMBRES,MATUTINO,"LUNES, MIERCOLES Y VIERNES",06:00:00,14:00:00,"25.7328334, -100.395103",
NORTE,2021,OCTUBRE-DICIEMBRE,RED RECOLECTOR SOCIEDAD ANONIMA DE CAPITAL VARIABLE,8,URBIVILLA COLONIAL,MATUTINO,"LUNES, MIERCOLES Y VIERNES",06:00:00,14:00:00,"25.7737269, -100.4060698",
NORTE,2021,OCTUBRE-DICIEMBRE,RED RECOLECTOR SOCIEDAD ANONIMA DE CAPITAL VARIABLE,38,BOSQUES DE LAS CUMBRES,MATUTINO,"LUNES, MIERCOLES Y VIERNES",06:00:00,14:00:00,"25.7280181, -100.4032286",
NORTE,2021,OCTUBRE-DICIEMBRE,RED RECOLECTOR SOCIEDAD ANONIMA DE CAPITAL VARIABLE,8,BARRIO DE SAN PEDRO,MATUTINO,"LUNES, MIERCOLES Y VIERNES",06:00:00,14:00:00,"25.772078, -100.4018186",
NORTE,2021,OCTUBRE-DICIEMBRE,RED RECOLECTOR SOCIEDAD ANONIMA DE CAPITAL VARIABLE,38,CIMA DEL BOSQUE,MATUTINO,"LUNES, MIERCOLES Y VIERNES",06:00:00,14:00:00,"25.7337543, -100.4134325",
NORTE,2021,OCTUBRE-DICIEMBRE,RED RECOLECTOR SOCIEDAD ANONIMA DE CAPITAL VARIABLE,8,URBIVILLA DEL CEDRO,MATUTINO,"LUNES, MIERCOLES Y VIERNES",06:00:00,14:00:00,"25.7714444, -100.3959471",
NORTE,2021,OCTUBRE-DICIEMBRE,RED RECOLECTOR SOCIEDAD ANONIMA DE CAPITAL VARIABLE,38,BOSQUES DE LAS CUMBRES 1 SEC.,MATUTINO,"LUNES, MIERCOLES Y VIERNES",06:00:00,14:00:00,"25.7278708, -100.4044257",
NORTE,2021,OCTUBRE-DICIEMBRE,RED RECOLECTOR SOCIEDAD ANONIMA DE CAPITAL VARIABLE,41,LAS ESTACIONES,MATUTINO,"LUNES, MIERCOLES Y VIERNES",06:00:00,14:00:00,"25.7659651, -100.4020142",
NORTE,2021,OCTUBRE-DICIEMBRE,RED RECOLECTOR SOCIEDAD ANONIMA DE CAPITAL VARIABLE,39,CUMBRES 4 SEC.,MATUTINO,"LUNES, MIERCOLES Y VIERNES",06:00:00,14:00:00,"25.718895, -100.388349",
NORTE,2021,OCTUBRE-DICIEMBRE,RED RECOLECTOR SOCIEDAD ANONIMA DE CAPITAL VARIABLE,32,PRIVADAS DE LINCOLN,MATUTINO,"LUNES, MIERCOLES Y VIERNES",06:00:00,14:00:00,"25.7643949, -100.4058552",
NORTE,2021,OCTUBRE-DICIEMBRE,RED RECOLECTOR SOCIEDAD ANONIMA DE CAPITAL VARIABLE,39,CUMBRES 3 SEC.,MATUTINO,"LUNES, MIERCOLES Y VIERNES",06:00:00,14:00:00,"25.7156135, -100.3825924",
NORTE,2021,OCTUBRE-DICIEMBRE,RED RECOLECTOR SOCIEDAD ANONIMA DE CAPITAL VARIABLE,20,SAN BERNABÉ XIII SECTOR,MATUTINO,"LUNES, MIERCOLES Y VIERNES",06:00:00,14:00:00,"25.7653104, -100.3863212",
NORTE,2021,OCTUBRE-DICIEMBRE,RED RECOLECTOR SOCIEDAD ANONIMA DE CAPITAL VARIABLE,40,DINASTIA,MATUTINO,"LUNES, MIERCOLES Y VIERNES",06:00:00,14:00:00,"25.7020521, -100.3776922",
NORTE,2021,OCTUBRE-DICIEMBRE,RED RECOLECTOR SOCIEDAD ANONIMA DE CAPITAL VARIABLE,11,LOMAS DE LAS CUMBRES,MATUTINO,"LUNES, MIERCOLES Y VIERNES",06:00:00,14:00:00,"25.7484166, -100.384194",
NORTE,2021,OCTUBRE-DICIEMBRE,RED RECOLECTOR SOCIEDAD ANONIMA DE CAPITAL VARIABLE,40,LAS COLONIAS RESIDENCIAL,MATUTINO,"LUNES, MIERCOLES Y VIERNES",06:00:00,14:00:00,"25.697098, -100.3851033",
NORTE,2021,OCTUBRE-DICIEMBRE,RED RECOLECTOR SOCIEDAD ANONIMA DE CAPITAL VARIABLE,10,FRACC. CUMBRES SAN AGUSTÍN MADRID,MATUTINO,"LUNES, MIERCOLES Y VIERNES",06:00:00,14:00:00,"25.7639199, -100.4220463",
NORTE,2021,OCTUBRE-DICIEMBRE,RED RECOLECTOR SOCIEDAD ANONIMA DE CAPITAL VARIABLE,41,LOS ALTOS,MATUTINO,"LUNES, MIERCOLES Y VIERNES",06:00:00,14:00:00,"25.7148033, -100.3714238",
NORTE,2021,OCTUBRE-DICIEMBRE,RED RECOLECTOR SOCIEDAD ANONIMA DE CAPITAL VARIABLE,10,CUMBRES DEL SOL,MATUTINO,"LUNES, MIERCOLES Y VIERNES",06:00:00,14:00:00,"25.7580777, -100.4310679",
NORTE,2021,OCTUBRE-DICIEMBRE,RED RECOLECTOR SOCIEDAD ANONIMA DE CAPITAL VARIABLE,43,LA ESPERANZA,MATUTINO,"LUNES, MIERCOLES Y VIERNES",06:00:00,14:00:00,"25.7209974, -100.3789552",
NORTE,2021,OCTUBRE-DICIEMBRE,RED RECOLECTOR SOCIEDAD ANONIMA DE CAPITAL VARIABLE,10,RESIDENCIAL PUERTA DE HIERRO,MATUTINO,"LUNES, MIERCOLES Y VIERNES",06:00:00,14:00:00,"25.7611368, -100.41881",
NORTE,2021,OCTUBRE-DICIEMBRE,RED RECOLECTOR SOCIEDAD ANONIMA DE CAPITAL VARIABLE,44,VALLE DE INFONAVIT,MATUTINO,"LUNES, MIERCOLES Y VIERNES",06:00:00,14:00:00,"25.731806, -100.3865745",
NORTE,2021,OCTUBRE-DICIEMBRE,RED RECOLECTOR SOCIEDAD ANONIMA DE CAPITAL VARIABLE,1,CUMBRES ELITE 1 SECTOR,MATUTINO,"LUNES, MIERCOLES Y VIERNES",06:00:00,14:00:00,"25.7433001, -100.4055651",
NORTE,2021,OCTUBRE-DICIEMBRE,RED RECOLECTOR SOCIEDAD ANONIMA DE CAPITAL VARIABLE,52,VALLE DE LOS CEDROS,MATUTINO,"LUNES, MIERCOLES Y VIERNES",06:00:00,14:00:00,"25.7268892, -100.377268",
NORTE,2021,OCTUBRE-DICIEMBRE,RED RECOLECTOR SOCIEDAD ANONIMA DE CAPITAL VARIABLE,38,CUMBRES ELITE 6SECTOR,MATUTINO,"LUNES, MIERCOLES Y VIERNES",06:00:00,14:00:00,"25.7326384, -100.4124466",
NORTE,2021,OCTUBRE-DICIEMBRE,RED RECOLECTOR SOCIEDAD ANONIMA DE CAPITAL VARIABLE,50,CIMA DE LAS CUMBRES,MATUTINO,"LUNES, MIERCOLES Y VIERNES",06:00:00,14:00:00,"25.724917, -100.3784068",
NORTE,2021,OCTUBRE-DICIEMBRE,RED RECOLECTOR SOCIEDAD ANONIMA DE CAPITAL VARIABLE,30,CUMBRES ELITE 8 SECTOR,MATUTINO,"LUNES, MIERCOLES Y VIERNES",06:00:00,14:00:00,"25.7357912, -100.4112008",
NORTE,2021,OCTUBRE-DICIEMBRE,RED RECOLECTOR SOCIEDAD ANONIMA DE CAPITAL VARIABLE,50,VALLE VERDE 1 SEC.,MATUTINO,"LUNES, MIERCOLES Y VIERNES",06:00:00,14:00:00,"25.7277361, -100.3776573",
NORTE,2021,OCTUBRE-DICIEMBRE,RED RECOLECTOR SOCIEDAD ANONIMA DE CAPITAL VARIABLE,33,VILLA CUMBRES,MATUTINO,"LUNES, MIERCOLES Y VIERNES",06:00:00,14:00:00,"25.7455335, -100.3868743",
NORTE,2021,OCTUBRE-DICIEMBRE,RED RECOLECTOR SOCIEDAD ANONIMA DE CAPITAL VARIABLE,300,FRANCISCO GARCÍA NARANJO,MATUTINO,"LUNES, MIERCOLES Y VIERNES",06:00:00,14:00:00,"25.7160683, -100.3641636",
NORTE,2021,OCTUBRE-DICIEMBRE,RED RECOLECTOR SOCIEDAD ANONIMA DE CAPITAL VARIABLE,35,VALLE DE LAS CUMBRES 1 SEC.,MATUTINO,"LUNES, MIERCOLES Y VIERNES",06:00:00,14:00:00,"25.740418, -100.387752",
NORTE,2021,OCTUBRE-DICIEMBRE,RED RECOLECTOR SOCIEDAD ANONIMA DE CAPITAL VARIABLE,55,MARVEL,MATUTINO,"LUNES, MIERCOLES Y VIERNES",06:00:00,14:00:00,"25.7231507, -100.3607958",
NORTE,2021,OCTUBRE-DICIEMBRE,RED RECOLECTOR SOCIEDAD ANONIMA DE CAPITAL VARIABLE,33,RESIDENCIAL MISIÓN LINCOLN 1,MATUTINO,"LUNES, MIERCOLES Y VIERNES",06:00:00,14:00:00,"25.7390573, -100.3774883",
NORTE,2021,OCTUBRE-DICIEMBRE,RED RECOLECTOR SOCIEDAD ANONIMA DE CAPITAL VARIABLE,56,SAN JORGE,MATUTINO,"LUNES, MIERCOLES Y VIERNES",06:00:00,14:00:00,"25.7231125, -100.3673529",
NORTE,2021,OCTUBRE-DICIEMBRE,RED RECOLECTOR SOCIEDAD ANONIMA DE CAPITAL VARIABLE,32,CUMBRES DE SANTA CLARA 3 SEC.,MATUTINO,"LUNES, MIERCOLES Y VIERNES",06:00:00,14:00:00,"25.7410745, -100.3989353",
NORTE,2021,OCTUBRE-DICIEMBRE,RED RECOLECTOR SOCIEDAD ANONIMA DE CAPITAL VARIABLE,16,BARRIO DEL CENTRO,MATUTINO,"LUNES, MIERCOLES Y VIERNES",06:00:00,14:00:00,"25.7742808, -100.3984156",
NORTE,2021,OCTUBRE-DICIEMBRE,RED RECOLECTOR SOCIEDAD ANONIMA DE CAPITAL VARIABLE,36,COLONIAL CUMBRES,MATUTINO,"LUNES, MIERCOLES Y VIERNES",06:00:00,14:00:00,"25.7350988, -100.3971537",
NORTE,2021,OCTUBRE-DICIEMBRE,RED RECOLECTOR SOCIEDAD ANONIMA DE CAPITAL VARIABLE,23,MIRASOL 1°,MATUTINO,"LUNES, MIERCOLES Y VIERNES",06:00:00,14:00:00,"25.7698067, -100.3978774",
NORTE,2021,OCTUBRE-DICIEMBRE,RED RECOLECTOR SOCIEDAD ANONIMA DE CAPITAL VARIABLE,39,CUMBRES 5 SEC.,MATUTINO,"LUNES, MIERCOLES Y VIERNES",06:00:00,14:00:00,"25.720606, -100.392444",
NORTE,2021,OCTUBRE-DICIEMBRE,RED RECOLECTOR SOCIEDAD ANONIMA DE CAPITAL VARIABLE,23,CHAPULTEPEC,MATUTINO,"LUNES, MIERCOLES Y VIERNES",06:00:00,14:00:00,"25.7632274, -100.3989071",
NORTE,2021,OCTUBRE-DICIEMBRE,RED RECOLECTOR SOCIEDAD ANONIMA DE CAPITAL VARIABLE,166,CUMBRE 1 SEC.,MATUTINO,"LUNES, MIERCOLES Y VIERNES",06:00:00,14:00:00,"25.6991381, -100.364946",
NORTE,2021,OCTUBRE-DICIEMBRE,RED RECOLECTOR SOCIEDAD ANONIMA DE CAPITAL VARIABLE,2,CERRADAS DE CUMBRES SEC. NORTE,MATUTINO,"LUNES, MIERCOLES Y VIERNES",06:00:00,14:00:00,"25.7457588, -100.4147608",
NORTE,2021,OCTUBRE-DICIEMBRE,RED RECOLECTOR SOCIEDAD ANONIMA DE CAPITAL VARIABLE,40,RESIDENCIAL LAS LAJAS,MATUTINO,"LUNES, MIERCOLES Y VIERNES",06:00:00,14:00:00,"25.697521, -100.3769596",
NORTE,2021,OCTUBRE-DICIEMBRE,RED RECOLECTOR SOCIEDAD ANONIMA DE CAPITAL VARIABLE,31,PASEO DE CUMBRES 3ER SEC.,MATUTINO,"LUNES, MIERCOLES Y VIERNES",06:00:00,14:00:00,"25.7530749, -100.4083664",
NORTE,2021,OCTUBRE-DICIEMBRE,RED RECOLECTOR SOCIEDAD ANONIMA DE CAPITAL VARIABLE,52,LOS ALTOS,MATUTINO,"LUNES, MIERCOLES Y VIERNES",06:00:00,14:00:00,"25.7148033, -100.3714238",
NORTE,2021,OCTUBRE-DICIEMBRE,RED RECOLECTOR SOCIEDAD ANONIMA DE CAPITAL VARIABLE,1,"CUMBRES ELITE, SECTOR VILLAS",MATUTINO,"LUNES, MIERCOLES Y VIERNES",06:00:00,14:00:00,"25.7455506, -100.4048358",
NORTE,2021,OCTUBRE-DICIEMBRE,RED RECOLECTOR SOCIEDAD ANONIMA DE CAPITAL VARIABLE,58,ALVARO OBREGÓN,MATUTINO,"LUNES, MIERCOLES Y VIERNES",06:00:00,14:00:00,"25.732983, -100.3704401",
NORTE,2021,OCTUBRE-DICIEMBRE,RED RECOLECTOR SOCIEDAD ANONIMA DE CAPITAL VARIABLE,16,CUMBRES DE SANTA CLARA,MATUTINO,"LUNES, MIERCOLES Y VIERNES",06:00:00,14:00:00,"25.7384606, -100.3996082",
NORTE,2021,OCTUBRE-DICIEMBRE,RED RECOLECTOR SOCIEDAD ANONIMA DE CAPITAL VARIABLE,47,VALLE VERDE 1 SEC.,MATUTINO,"LUNES, MIERCOLES Y VIERNES",06:00:00,14:00:00,"25.7277361, -100.3776573",
NORTE,2021,OCTUBRE-DICIEMBRE,RED RECOLECTOR SOCIEDAD ANONIMA DE CAPITAL VARIABLE,34,CUMBRES ORO REGENCY,MATUTINO,"LUNES, MIERCOLES Y VIERNES",06:00:00,14:00:00,"25.7379741, -100.3948976",
NORTE,2021,OCTUBRE-DICIEMBRE,RED RECOLECTOR SOCIEDAD ANONIMA DE CAPITAL VARIABLE,52,LOS CEDROS,MATUTINO,"LUNES, MIERCOLES Y VIERNES",06:00:00,14:00:00,"25.7197049, -100.3724748",
NORTE,2021,OCTUBRE-DICIEMBRE,RED RECOLECTOR SOCIEDAD ANONIMA DE CAPITAL VARIABLE,16,PROVIDENCIA,MATUTINO,"LUNES, MIERCOLES Y VIERNES",06:00:00,14:00:00,"25.581925, -100.288753",
NORTE,2021,OCTUBRE-DICIEMBRE,RED RECOLECTOR SOCIEDAD ANONIMA DE CAPITAL VARIABLE,54,NUEVA MORELOS,MATUTINO,"LUNES, MIERCOLES Y VIERNES",06:00:00,14:00:00,"25.7181348, -100.3466744",
NORTE,2021,OCTUBRE-DICIEMBRE,RED RECOLECTOR SOCIEDAD ANONIMA DE CAPITAL VARIABLE,47,PASEO DE LAS MITRAS SEGUNDO SECTOR,MATUTINO,"LUNES, MIERCOLES Y VIERNES",06:00:00,14:00:00,"25.7366851, -100.3788721",
NORTE,2021,OCTUBRE-DICIEMBRE,RED RECOLECTOR SOCIEDAD ANONIMA DE CAPITAL VARIABLE,55,DEL MAESTRO,MATUTINO,"LUNES, MIERCOLES Y VIERNES",06:00:00,14:00:00,"25.7235592, -100.3535595",
NORTE,2021,OCTUBRE-DICIEMBRE,RED RECOLECTOR SOCIEDAD ANONIMA DE CAPITAL VARIABLE,50,VILLA DORADA,MATUTINO,"LUNES, MIERCOLES Y VIERNES",06:00:00,14:00:00,"25.7233598, -100.3772672",
NORTE,2021,OCTUBRE-DICIEMBRE,RED RECOLECTOR SOCIEDAD ANONIMA DE CAPITAL VARIABLE,23,MIRASOL,MATUTINO,"LUNES, MIERCOLES Y VIERNES",06:00:00,14:00:00,"25.7766519, -100.3848041",
NORTE,2021,OCTUBRE-DICIEMBRE,RED RECOLECTOR SOCIEDAD ANONIMA DE CAPITAL VARIABLE,300,FRANCISCO GARCÍA NARANJO (INDECO),MATUTINO,"LUNES, MIERCOLES Y VIERNES",06:00:00,14:00:00,"25.7182784, -100.3645681",
NORTE,2021,OCTUBRE-DICIEMBRE,RED RECOLECTOR SOCIEDAD ANONIMA DE CAPITAL VARIABLE,19,MIRASOL,MATUTINO,"LUNES, MIERCOLES Y VIERNES",06:00:00,14:00:00,"25.7766519, -100.3848041",
NORTE,2021,OCTUBRE-DICIEMBRE,RED RECOLECTOR SOCIEDAD ANONIMA DE CAPITAL VARIABLE,165,BUROCRATAS DEL ESTADO,MATUTINO,"LUNES, MIERCOLES Y VIERNES",06:00:00,14:00:00,"25.7102392, -100.3695531",
NORTE,2021,OCTUBRE-DICIEMBRE,RED RECOLECTOR SOCIEDAD ANONIMA DE CAPITAL VARIABLE,20,SAN BERNABÉ XI SECTOR,MATUTINO,"LUNES, MIERCOLES Y VIERNES",06:00:00,14:00:00,"25.7666438, -100.3814507",
NORTE,2021,OCTUBRE-DICIEMBRE,RED RECOLECTOR SOCIEDAD ANONIMA DE CAPITAL VARIABLE,168,VISTA HERMOSA,MATUTINO,"LUNES, MIERCOLES Y VIERNES",06:00:00,14:00:00,"25.6932882, -100.3657847",
NORTE,2021,OCTUBRE-DICIEMBRE,RED RECOLECTOR SOCIEDAD ANONIMA DE CAPITAL VARIABLE,168,COLINAS DE SAN JERÓNIMO,MATUTINO,"LUNES, MIERCOLES Y VIERNES",06:00:00,14:00:00,"25.68711, -100.3794627",
NORTE,2021,OCTUBRE-DICIEMBRE,RED RECOLECTOR SOCIEDAD ANONIMA DE CAPITAL VARIABLE,170,COLINAS DE SAN JERONIMO,MATUTINO,"LUNES, MIERCOLES Y VIERNES",06:00:00,14:00:00,"25.687694, -100.365409",
NORTE,2021,OCTUBRE-DICIEMBRE,RED RECOLECTOR SOCIEDAD ANONIMA DE CAPITAL VARIABLE,10,LOS ANGELES,MATUTINO,"LUNES, MIERCOLES Y VIERNES",06:00:00,14:00:00,"25.7821992, -100.4119089",
NORTE,2021,OCTUBRE-DICIEMBRE,RED RECOLECTOR SOCIEDAD ANONIMA DE CAPITAL VARIABLE,171,COLINAS DE SAN JERONIMO 10 SECTOR,MATUTINO,"LUNES, MIERCOLES Y VIERNES",06:00:00,14:00:00,"25.6948753, -100.373975",
NORTE,2021,OCTUBRE-DICIEMBRE,RED RECOLECTOR SOCIEDAD ANONIMA DE CAPITAL VARIABLE,6,REAL DE SAN BERNABE,MATUTINO,"LUNES, MIERCOLES Y VIERNES",06:00:00,14:00:00,"25.7853167, -100.4117641",
NORTE,2021,OCTUBRE-DICIEMBRE,RED RECOLECTOR SOCIEDAD ANONIMA DE CAPITAL VARIABLE,173,CUMBRES JADE SECTOR ENCINO,MATUTINO,"LUNES, MIERCOLES Y VIERNES",06:00:00,14:00:00,"25.7479275, -100.3929544",
NORTE,2021,OCTUBRE-DICIEMBRE,RED RECOLECTOR SOCIEDAD ANONIMA DE CAPITAL VARIABLE,2,CUMBRES MADEIRA,MATUTINO,"LUNES, MIERCOLES Y VIERNES",06:00:00,14:00:00,"25.747164, -100.4140574",
SUR,2021,OCTUBRE-DICIEMBRE,RED RECOLECTOR SOCIEDAD ANONIMA DE CAPITAL VARIABLE,27,HACIENDA SAN JERONIMO,MATUTINO,"MARTES, JUEVES Y SABADO",06:00:00,14:00:00,"25.6937822, -100.3808844",
NORTE,2021,OCTUBRE-DICIEMBRE,RED RECOLECTOR SOCIEDAD ANONIMA DE CAPITAL VARIABLE,1,CUMBRES ORO SECTOR LA FONTAINE,MATUTINO,"LUNES, MIERCOLES Y VIERNES",06:00:00,14:00:00,"25.7431554, -100.396941",
SUR,2021,OCTUBRE-DICIEMBRE,RED RECOLECTOR SOCIEDAD ANONIMA DE CAPITAL VARIABLE,26,VALLE DE SAN JERONIMO,MATUTINO,"MARTES, JUEVES Y SABADO",06:00:00,14:00:00,"25.6880082, -100.37444",
NORTE,2021,OCTUBRE-DICIEMBRE,RED RECOLECTOR SOCIEDAD ANONIMA DE CAPITAL VARIABLE,35,CUMBRES QUINTA REAL,MATUTINO,"LUNES, MIERCOLES Y VIERNES",06:00:00,14:00:00,"25.7422931, -100.3873594",
SUR,2021,OCTUBRE-DICIEMBRE,RED RECOLECTOR SOCIEDAD ANONIMA DE CAPITAL VARIABLE,4,SANTA MARIA,MATUTINO,"MARTES, JUEVES Y SABADO",06:00:00,14:00:00,"25.6731526, -100.3772442",
NORTE,2021,OCTUBRE-DICIEMBRE,RED RECOLECTOR SOCIEDAD ANONIMA DE CAPITAL VARIABLE,45,HACIENDA MITRAS,MATUTINO,"LUNES, MIERCOLES Y VIERNES",06:00:00,14:00:00,"25.7359243, -100.3926025",
SUR,2021,OCTUBRE-DICIEMBRE,RED RECOLECTOR SOCIEDAD ANONIMA DE CAPITAL VARIABLE,4,COLINAS DEL VALLE,MATUTINO,"MARTES, JUEVES Y SABADO",06:00:00,14:00:00,"25.6776946, -100.3958758",
NORTE,2021,OCTUBRE-DICIEMBRE,RED RECOLECTOR SOCIEDAD ANONIMA DE CAPITAL VARIABLE,47,PASEO DE LAS MITRAS,MATUTINO,"LUNES, MIERCOLES Y VIERNES",06:00:00,14:00:00,"25.7403929, -100.3813716",
SUR,2021,OCTUBRE-DICIEMBRE,RED RECOLECTOR SOCIEDAD ANONIMA DE CAPITAL VARIABLE,4,MIRAVALLE,MATUTINO,"MARTES, JUEVES Y SABADO",06:00:00,14:00:00,"25.6722049, -100.3707136",
NORTE,2021,OCTUBRE-DICIEMBRE,RED RECOLECTOR SOCIEDAD ANONIMA DE CAPITAL VARIABLE,47,RESIDENCIAL MISIÓN LINCOLN 2,MATUTINO,"LUNES, MIERCOLES Y VIERNES",06:00:00,14:00:00,"25.740572, -100.3748279",
SUR,2021,OCTUBRE-DICIEMBRE,RED RECOLECTOR SOCIEDAD ANONIMA DE CAPITAL VARIABLE,31,DEL CARMEN,MATUTINO,"MARTES, JUEVES Y SABADO",06:00:00,14:00:00,"25.6677465, -100.3625886",
NORTE,2021,OCTUBRE-DICIEMBRE,RED RECOLECTOR SOCIEDAD ANONIMA DE CAPITAL VARIABLE,43,COLINAS DE LAS CUMBRES 1° SECTOR,MATUTINO,"LUNES, MIERCOLES Y VIERNES",06:00:00,14:00:00,"25.7225077, -100.3941244",
SUR,2021,OCTUBRE-DICIEMBRE,RED RECOLECTOR SOCIEDAD ANONIMA DE CAPITAL VARIABLE,31,LOS DOCTORES,MATUTINO,"MARTES, JUEVES Y SABADO",06:00:00,14:00:00,"25.6686969, -100.3555936",
NORTE,2021,OCTUBRE-DICIEMBRE,RED RECOLECTOR SOCIEDAD ANONIMA DE CAPITAL VARIABLE,300,FRANCISCO GARCÍA NARANJO (PROVILEÓN),MATUTINO,"LUNES, MIERCOLES Y VIERNES",06:00:00,14:00:00,"25.7160683, -100.3641636",
SUR,2021,OCTUBRE-DICIEMBRE,RED RECOLECTOR SOCIEDAD ANONIMA DE CAPITAL VARIABLE,13,INDEPENDENCIA,MATUTINO,"MARTES, JUEVES Y SABADO",06:00:00,14:00:00,"25.6582918, -100.3225865",
